ds,yhat,yhat_lower,yhat_upper
2018-11-23,39831.454549949325,28288.212856478032,51181.57626941226
2018-11-24,35223.82352060574,24230.16472215621,46210.40784534402
2018-11-25,36719.11450074841,25800.165338586434,48192.244774981664
2018-11-26,44015.67425327808,32548.48240940255,55867.722178166
2018-11-27,43716.06326310204,32634.517036052872,54023.097537499525
2018-11-28,43035.832312598286,31572.774961294585,54888.204293345625
2018-11-29,41732.23077913411,31752.233065035412,52767.40862967052
2018-11-30,40718.95913799586,29608.328209495932,51948.82272160524
2018-12-01,35135.909271595425,24016.470011183992,46318.31258200988
2018-12-02,35638.097791539265,24534.861197668415,46027.86957645077
